Token类型    Token值      所在行数
关键字       fn           1
标识符       main         1
左括号       (            1
右括号       )            1
左大括号     {            1
关键字       let          2
关键字       mut          2
标识符       a            2
冒号         :            2
关键字       i32          2
单目运算符   =            2
整数         1            2
界符         ;            2
关键字       let          3
关键字       mut          3
标识符       a            3
单目运算符   =            3
整数         2            3
界符         ;            3
关键字       let          4
关键字       mut          4
标识符       a            4
冒号         :            4
关键字       i32          4
单目运算符   =            4
整数         3            4
界符         ;            4
右大括号     }            5
