STATE,ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOTO
,fn,let,mut,return,if,else,while,for,in,loop,break,continue,=,+,-,*,/,==,!=,<,>,<=,>=,.,(,),{,},[,],;,",",:,->,..,<ID>,i32,<NUM>,<INT>,&,#,S,Program,DeclList,Type,TupleTypeInner,Assignable,Element,Exp,Factor,Decl,FunDef,VarDecl,VarDeclAssign,FunHead,Block,ParamList,Param,VarMut,StmtList,Stmt,AssignStmt,ReturnStmt,IfStmt,WhileStmt,ForStmt,LoopStmt,BreakStmt,ContinueStmt,VarDeclInner,abc,AddSubExp,CompOp,FuncExpStmtBlock,SelectExp,AddSubOp,MulDivExp,MulDivOp,Item,ArrayElementList,TupleAssignInner,ArgList,ArrayElement,IfStmt_m1,IfStmt_m2,IfNext,IfStmt_next,WhileStmt_m1,WhileStmt_m2,ForStmt_m1,ForStmt_m2,LoopStmt_m,FuncExpStmtSeq,Param,,TypeList,TupleElementList,
0,s11,s1,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s13,,,,,r12,,3,5,,,,,,,2,4,6,7,8,,,,,,,,,,,,,,,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,s15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,s11,s1,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s13,,,,,r12,,,17,,,,,,,2,4,6,7,8,,,,,,,,,,,,,,,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,r14,r14,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r14,,,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,r15,r15,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r15,,,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,r16,r16,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r16,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,s20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,s21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,r46,r46,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r46,,,,,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,s26,,,,,,,,,,,,,,,,,,s24,,s25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,r50,,,,,,,,,,,,,,,,,,r50,,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,r17,r17,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r17,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,r113,r113,r113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r113,,,,,r113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
